"CountryCode","SeriesCode","DESCRIPTION",
"BLZ","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BLZ","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BLZ","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BLZ","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BLZ","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BLZ","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BMU","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BMU","SP.DYN.CBRT.IN","Data source: Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report",
"BMU","SP.DYN.CDRT.IN","Data source: Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report",
"BMU","SP.DYN.LE00.FE.IN","Data source: Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report",
"BMU","SP.DYN.LE00.MA.IN","Data source: Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report",
"BMU","SP.DYN.TFRT.IN","Data source: Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report",
"BMU","SP.POP.TOTL","Data source: Bermuda Government Department of Statistics",
"BOL","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BOL","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BOL","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BOL","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BOL","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BOL","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BOL","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BRA","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BRA","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BRA","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BRA","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BRA","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BRA","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BRA","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BRB","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BRB","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BRB","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BRB","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BRB","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BRB","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BRB","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BRN","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BRN","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BRN","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BRN","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BRN","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BRN","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BRN","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BTN","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BTN","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BTN","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BTN","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BTN","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BTN","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BTN","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BWA","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BWA","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BWA","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BWA","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BWA","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BWA","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BWA","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"CAF","SG.POP.MIGR.FE.ZS","Estimates were derived from data on foreign citizens.",
"CAF","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"CAF","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"CAF","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"CAF","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"CAF","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"CAF","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"CAN","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"CAN","SP.DYN.CBRT.IN","Data source: Statistics Canada, United Nations Population and Vital Statistics Report, United Nations World Population Prospects",
"CAN","SP.DYN.CDRT.IN","Data source: Statistics Canada, United Nations Population and Vital Statistics Report, United Nations World Population Prospects",
"CAN","SP.DYN.LE00.FE.IN","Data source: Statistics Canada",
"CAN","SP.DYN.LE00.MA.IN","Data source: Statistics Canada",
"CAN","SP.DYN.TFRT.IN","Data source: Statistics Canada, United Nations World Population Prospects",
"CAN","SP.POP.TOTL","Data source: Statistics Canada",
"CHE","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"CHE","SP.DYN.CBRT.IN","Data source: Eurostat",
"CHE","SP.DYN.CDRT.IN","Data source: Eurostat",
"CHE","SP.DYN.LE00.FE.IN","Data source: Eurostat, Swiss Federal Statistical Office",
"CHE","SP.DYN.LE00.MA.IN","Data source: Eurostat, Swiss Federal Statistical Office",
"CHE","SP.DYN.TFRT.IN","Data source: Eurostat",
"CHE","SP.POP.TOTL","Data source: Eurostat",
"CHI","SG.POP.MIGR.FE.ZS","Refers to Guernsey, and Jersey. Estimates were derived from data on the foreign-born population.",
"CHI","SP.ADO.TFRT","Refers to Guernsey, and Jersey.",
"CHI","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"CHI","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"CHI","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"CHI","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"CHI","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"CHI","SP.POP.0014.TO.ZS","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.1564.TO.ZS","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.65UP.TO.ZS","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.AG00.FE.IN","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.AG00.MA.IN","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.AG01.FE.IN","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.AG01.MA.IN","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.AG02.FE.IN","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.AG02.MA.IN","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.AG03.FE.IN","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.AG03.MA.IN","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.AG04.FE.IN","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.AG04.MA.IN","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.AG05.FE.IN","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.AG05.MA.IN","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.BRTH.MF","Refers to Guernsey, and Jersey.",
"CHI","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"CHI","SP.POP.TOTL.FE.ZS","Refers to Guernsey, and Jersey.",
"CHL","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"CHL","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"CHL","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"CHL","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"CHL","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"CHL","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"CHL","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"CHN","SG.POP.MIGR.FE.ZS","For statistical purposes, the data for China do not include Hong Kong and Macao and Special Administrative Regions (SAR) of China. Estimates were derived from data on foreign citizens.",
"CHN","SP.ADO.TFRT","The data for China do not include Hong Kong SAR, China; Macao SAR, China; and Taiwan, China.",
"CHN","SP.DYN.CBRT.IN","Data source: National Bureau of Statistics",
"CHN","SP.DYN.CDRT.IN","Data source: National Bureau of Statistics",
"CHN","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"CHN","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"CHN","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"CHN","SP.POP.0014.TO.ZS","Excluding Hong Kong SAR, China; Macao SAR, China; Taiwan, China.",
"CHN","SP.POP.1564.TO.ZS","Excluding Hong Kong SAR, China; Macao SAR, China; Taiwan, China.",
"CHN","SP.POP.65UP.TO.ZS","Excluding Hong Kong SAR, China; Macao SAR, China; Taiwan, China.",
"CHN","SP.POP.AG00.FE.IN","The data for China do not include Hong Kong SAR, China; Macao SAR, China; and Taiwan, China.",
